shot_id_number,is_goal
1,0.375149876
8,0.589574516
17,0.624495208
20,0.848130107
22,0.404218227
33,0.426470667
34,0.534659922
35,0.626665413
36,0.62318486
37,0.846848786
38,0.304760784
45,0.555458069
50,0.248063251
55,0.192646742
60,0.236448005
62,0.475933254
66,0.397254169
67,0.434509456
71,0.374025643
72,0.399511814
76,0.527974367
80,0.388607919
85,0.451544702
86,0.076884776
87,0.356640637
92,0.495260775
95,0.013667965
97,0.205292061
104,0.242620513
113,0.49067688
122,0.62471211
123,0.398812652
126,0.654340863
133,0.625326812
134,0.449810803
141,0.369025946
144,0.527974367
150,0.625770986
152,0.451544702
153,0.625770986
156,0.62471211
159,0.629351676
165,0.3391352
172,0.978491187
182,0.627646983
192,0.451544702
193,0.624495208
196,0.527974367
202,0.309503108
205,0.338396609
210,0.174886137
211,0.383944273
228,0.625326812
250,0.625326812
257,0.451233029
260,0.502829671
262,0.480573475
264,0.473137945
267,0.411271513
279,0.624495208
282,0.527974367
293,0.311270267
299,0.312435538
300,0.187794968
301,0.37053901
317,0.347360402
327,0.494592905
328,0.318664074
335,0.63351351
346,0.253793746
348,0.527974367
360,0.298983097
365,0.451544702
379,0.288102061
382,0.295849025
390,0.581570566
391,0.627646983
392,0.527974367
397,0.173723176
417,0.556312501
418,0.361384541
420,0.339559436
428,0.396841079
429,0.36062035
434,0.360548884
439,0.625326812
440,0.332874328
451,0.520167649
456,0.451544702
459,0.505861938
472,0.476137131
480,0.346288055
491,0.347665906
497,0.413392603
509,0.361985415
511,0.526483834
523,0.940834641
533,0.389283895
544,0.62798506
546,0.334686607
552,0.334282607
555,0.627646983
558,0.357276618
560,0.436722547
568,0.527974367
571,0.625326812
573,0.387871891
576,0.624495208
578,0.623495579
591,0.406172276
596,0.446048915
597,0.527974367
601,0.527974367
605,0.503061831
617,0.452919245
625,0.360093266
628,0.418214411
634,0.451544702
646,0.497989714
649,0.351603389
651,0.458566576
654,0.627466202
656,0.626090646
657,0.594764054
661,0.626090646
669,0.364132881
670,0.629426897
680,0.624495208
693,0.323281944
694,0.527974367
699,0.527974367
711,0.417722404
715,0.371729493
718,0.527974367
722,0.511658192
723,0.327025026
725,0.635560036
734,0.393992871
735,0.624495208
737,0.451544702
746,0.432970881
747,0.322140664
764,0.318370283
766,0.343741655
767,0.289599538
771,0.493020624
773,0.527974367
774,0.344685107
783,0.203901634
784,0.309909523
789,0.286664039
792,0.527974367
804,0.361665368
809,0.397146881
812,0.367559165
813,0.378267676
817,0.460324317
818,0.522601068
820,0.281172514
825,0.363319159
826,0.353400379
829,0.460416198
833,0.363389224
855,0.290697962
859,0.624495208
862,0.369779378
870,0.320879251
876,0.444618672
880,0.451544702
886,0.624872863
889,0.451544702
891,0.625326812
897,0.627646983
902,0.542411268
903,0.451544702
908,0.267520607
909,0.451544702
920,0.286558956
922,0.360093176
924,0.284839779
932,0.374621183
934,0.349394292
937,0.000138479
938,0.627466202
941,0.527974367
943,0.405013621
947,0.451544702
950,0.451544702
952,0.332550228
954,0.627520144
962,0.627646983
963,0.356576502
975,0.451544702
979,0.451544702
981,0.527974367
983,0.140416935
985,0.625332057
989,0.681672752
995,0.506743491
998,0.631035089
1008,0.3960841
1019,0.624495208
1023,0.51820308
1026,0.324981391
1029,0.405221701
1034,0.320401222
1036,0.36685428
1038,0.363916248
1039,0.328682005
1044,0.222310647
1049,0.349707246
1051,0.625770986
1052,0.527974367
1062,0.625326812
1064,0.369265467
1066,0.364607841
1087,0.364975959
1092,0.428415865
1094,0.527974367
1098,0.34990409
1099,0.366353601
1102,0.433504611
1103,0.349884152
1118,0.451544702
1131,0.528610587
1133,0.624495208
1135,0.624495208
1138,0.62471211
1139,0.62471211
1141,0.625326812
1142,0.372000694
1151,0.635551453
1152,0.44189316
1155,0.46079281
1157,0.841283798
1165,0.406324953
1167,0.596527576
1172,0.612558544
1174,0.52584976
1178,0.421311736
1180,0.62471211
1200,0.527974367
1202,0.349309981
1209,0.512720227
1227,0.299513072
1228,0.62316376
1229,0.347040355
1237,0.624495208
1241,0.713716686
1248,0.489960283
1256,0.429007739
1277,0.527974367
1279,0.527974367
1288,0.625326812
1290,0.427820563
1293,0.625326812
1295,0.326485991
1308,0.507338345
1315,0.625326812
1319,0.625326812
1320,0.340738565
1321,0.264594048
1322,0.527974367
1331,0.3361395
1334,0.068362817
1343,0.451544702
1348,0.27580893
1349,0.268720597
1351,0.631552041
1373,0.527974367
1375,0.527974367
1380,0.586666882
1382,0.516894877
1385,0.62471211
1387,0.366463333
1394,0.34382987
1399,0.272004724
1403,0.62471211
1409,0.527974367
1413,0.355257839
1425,0.624872863
1428,0.527974367
1434,0.280828923
1444,0.626090646
1448,0.371712148
1461,0.363214016
1466,0.527974367
1476,0.338914216
1478,0.451544702
1485,0.346665233
1491,0.625326812
1494,0.413308978
1495,0.627466202
1500,0.591502845
1501,0.527974367
1503,0.527974367
1507,0.625326812
1511,0.207072169
1519,0.62471211
1524,0.541069448
1528,0.625326812
1529,0.503478706
1533,0.627646983
1538,0.624495208
1539,0.451544702
1545,0.364997536
1546,0.625326812
1550,0.348274469
1555,0.332063973
1556,0.32855624
1558,0.624495208
1559,0.451544702
1561,0.496825725
1563,0.527974367
1565,0.353156924
1574,0.520439982
1581,0.625326812
1583,0.527974367
1591,0.380346656
1594,0.432966053
1605,0.527974367
1611,0.527974367
1614,0.800636172
1617,0.356725007
1620,0.364897311
1626,0.408213109
1628,0.45624429
1630,0.41772154
1632,0.173597902
1634,0.451544702
1643,0.326900244
1651,0.382737637
1654,0.296053767
1655,0.344989687
1658,0.527974367
1659,0.458455503
1665,0.451544702
1675,0.320984155
1680,0.627466202
1690,0.527974367
1696,0.451544702
1714,0.290619791
1718,0.62471211
1721,0.567831397
1726,0.451544702
1728,0.451544702
1734,0.338530719
1735,0.456890643
1740,0.370354295
1744,0.411836594
1747,0.451544702
1752,0.397049069
1763,0.627466202
1764,0.420828521
1765,0.627646983
1769,0.400258332
1770,0.624872863
1785,0.414626956
1787,0.527974367
1788,0.632197857
1793,0.64203912
1794,0.68954283
1800,0.527974367
1812,0.406346291
1825,0.4436526
1826,0.624495208
1834,0.351757199
1843,0.290924758
1844,0.341934562
1848,0.243013635
1849,0.624495208
1860,0.625326812
1863,0.625326812
1875,0.502703786
1883,0.361484468
1890,0.376404166
1892,0.527974367
1893,0.527974367
1897,0.474453539
1905,0.451544702
1908,0.486345172
1931,0.492806524
1940,0.625326812
1943,0.374746591
1947,0.084953278
1965,0.147143215
1967,0.354200453
1968,0.351210535
1972,0.62471211
1982,0.390575796
1985,0.338308096
2005,0.455654472
2010,0.428408295
2021,0.354590416
2024,0.428661227
2027,0.186228603
2028,0.445679605
2035,0.34796378
2036,0.376590848
2043,0.29739964
2047,0.307171941
2049,0.373338073
2055,0.378373712
2065,0.336532086
2066,0.376136154
2070,0.494939864
2077,0.527974367
2081,0.527974367
2085,0.492934018
2089,0.372692376
2095,0.451544702
2097,0.624495208
2100,0.315623343
2108,0.625326812
2112,0.451544702
2113,0.624530554
2120,0.492737979
2121,0.388259381
2122,0.511658192
2139,0.407191008
2141,0.358889043
2144,0.372386187
2146,0.349641353
2148,0.354474515
2149,0.628565431
2157,0.337887377
2158,0.458566576
2159,0.372057676
2168,0.318439096
2176,0.627466202
2178,0.635072052
2181,0.527974367
2184,0.451544702
2187,0.465773255
2188,0.521646678
2190,0.473928809
2193,0.634008586
2194,0.633724451
2197,0.478515416
2202,0.62471211
2204,0.627368748
2211,0.527974367
2214,0.283875436
2215,0.527974367
2217,0.237262547
2222,0.378769368
2223,0.45494476
2226,0.281207263
2230,0.625326812
2233,0.625326812
2240,0.451544702
2246,0.041962888
2247,0.334595412
2250,0.451544702
2254,0.343867213
2257,0.626240671
2259,0.527974367
2262,0.498118371
2263,0.317048222
2266,0.403940558
2305,0.2773619
2310,0.329262465
2313,0.626090646
2319,0.527974367
2320,0.449106306
2341,0.400757492
2345,0.361655444
2350,0.624495208
2356,0.451544702
2360,0.431392044
2370,0.354496151
2374,0.624872863
2384,0.329910129
2386,0.318555713
2397,0.259343088
2398,0.451544702
2411,0.451544702
2414,0.624495208
2435,0.624872863
2439,0.625326812
2446,0.624317527
2458,0.527974367
2465,0.313105464
2466,0.527974367
2470,0.321603119
2490,0.205922797
2495,0.627466202
2501,0.888650775
2507,0.642222941
2533,0.101040408
2537,0.163245142
2538,0.527974367
2541,0.468142092
2542,0.62471211
2544,0.469594359
2554,0.527974367
2555,0.527974367
2565,0.627805829
2572,0.514288723
2573,0.527974367
2575,0.604847252
2586,0.624495208
2588,0.451544702
2594,0.625150025
2617,0.627466202
2618,0.347710043
2620,0.326676637
2623,0.624495208
2631,0.62471211
2640,0.29332158
2642,0.451544702
2647,0.451544702
2663,0.527974367
2664,0.322739929
2676,0.342827678
2680,0.625268936
2681,0.464824498
2690,0.657592475
2691,0.368855059
2693,0.3547315
2695,0.62471211
2704,0.336426228
2708,0.096246399
2709,0.627012074
2717,0.62882024
2718,0.48939544
2722,0.527974367
2728,0.737598956
2732,0.624873221
2743,0.621728122
2745,0.63351351
2752,0.4691208
2756,0.505331397
2757,0.636013031
2761,0.627087533
2769,0.808672249
2771,0.625326812
2773,0.37017262
2774,0.358923495
2776,0.375457704
2781,0.406240433
2793,0.451544702
2799,0.315833628
2800,0.334356308
2803,0.475906938
2811,0.489723563
2818,0.451544702
2824,0.736784756
2828,0.628614783
2829,0.451544702
2830,0.503061831
2842,0.627466202
2847,0.624495208
2848,0.298592925
2868,0.431547135
2870,0.426239669
2885,0.427709937
2886,0.372352451
2889,0.378135443
2902,0.595831275
2903,0.493677288
2904,0.689055681
2918,0.362751871
2919,0.307527304
2922,0.385788918
2923,0.61411792
2931,0.5127545
2945,0.451544702
2946,0.521712363
2955,0.362125695
2957,0.623877585
2960,0.623877585
2963,0.378513396
2966,0.62471211
2972,0.457522601
2973,0.354655415
2974,0.425993204
2981,0.625651777
2982,0.391553283
2984,0.358921081
2998,0.506369948
3016,0.62471211
3021,0.284544319
3023,0.627466202
3025,0.508665264
3026,0.624495208
3029,0.214814186
3034,0.625326812
3037,0.344449699
3038,0.327413529
3040,0.547209144
3051,0.527974367
3062,0.527974367
3069,0.344929695
3071,0.040728714
3076,0.624872863
3079,0.408131838
3081,0.527974367
3082,0.495064706
3084,0.312312126
3091,0.377106607
3095,0.626090646
3098,0.358913988
3104,0.406770527
3105,0.451544702
3108,0.810315311
3114,0.626090646
3118,0.320884973
3122,0.527974367
3123,0.235634521
3132,0.352261275
3138,0.975223601
3141,0.624495208
3156,0.63351351
3162,0.627545595
3167,0.267353147
3170,0.357309014
3171,0.352773756
3172,0.527974367
3176,0.62471211
3180,0.25940609
3189,0.32517609
3193,0.25061208
3198,0.439520061
3203,0.441109389
3205,0.998403251
3206,0.418475389
3215,0.623241186
3217,0.434283584
3222,0.624230981
3228,0.322793573
3229,0.333126277
3232,0.003725716
3233,0.389334172
3235,0.385537058
3238,0.32310009
3256,0.62731272
3264,0.36369881
3265,0.345050424
3273,0.365728617
3275,0.591331124
3285,0.621166348
3289,0.488148093
3294,0.307572067
3306,0.237806633
3311,0.625774086
3315,0.332841516
3318,0.348826081
3322,0.318570554
3324,0.000657946
3327,0.527974367
3334,0.297665417
3341,0.349493951
3345,0.45731926
3346,0.631812572
3352,0.428854227
3368,0.372431695
3369,0.347936541
3371,0.247660711
3372,0.352887928
3375,0.539800584
3384,0.375665814
3386,0.47227791
3387,0.428809375
3393,0.49424845
3406,0.361904383
3411,0.527974367
3412,0.545473516
3414,0.399995267
3417,0.624422789
3420,0.62471211
3423,0.625326812
3436,0.452704161
3437,0.351780057
3438,0.625326812
3442,0.36157456
3443,0.355261743
3446,0.395991743
3451,0.522168159
3461,0.904297292
3473,0.62471211
3477,0.527974367
3489,0.218034074
3491,0.367618322
3510,0.527974367
3515,0.393155664
3527,0.408414245
3530,0.626090646
3533,0.62471211
3540,0.834719062
3545,0.626235425
3553,0.395830631
3569,0.6242733
3582,0.527974367
3604,0.627466202
3605,0.38251847
3609,0.451544702
3616,0.465701997
3624,0.451544702
3628,0.625326812
3630,0.527974367
3641,0.527974367
3642,0.318945944
3648,0.230898142
3650,0.625326812
3651,0.406866282
3652,0.625326812
3660,0.527974367
3664,0.365210444
3670,0.537447512
3672,0.451544702
3680,0.62471211
3682,0.624872863
3685,0.300559282
3686,0.467284858
3689,0.527974367
3691,0.527974367
3696,0.632049143
3698,0.185852975
3705,0.357703447
3712,0.28017658
3713,0.527974367
3719,0.337525666
3721,0.330432713
3723,0.291665047
3724,0.340307325
3725,0.999512553
3727,0.332146972
3733,0.342055798
3734,0.232988462
3736,0.349004596
3742,0.28066048
3761,0.451544702
3765,0.62471211
3770,0.345616728
3774,0.527974367
3777,0.324295044
3778,0.362693906
3780,0.37111184
3781,0.32185635
3783,0.451544702
3784,0.451544702
3788,0.373322904
3790,0.049487192
3794,0.358733207
3795,0.371433735
3796,0.527974367
3801,0.340034455
3802,0.450352371
3806,0.42500785
3808,0.150644317
3813,0.527974367
3814,0.527974367
3818,0.625326812
3824,0.425004244
3836,0.869961321
3853,0.950070143
3855,0.527974367
3858,0.624495208
3861,0.626090646
3866,0.526143551
3869,0.322400838
3870,0.310737044
3874,0.458566576
3876,0.344213009
3878,0.527974367
3884,0.624495208
3890,0.527974367
3900,0.848130107
3904,0.443550676
3906,0.296687365
3907,0.527974367
3908,0.353993922
3912,0.628419459
3913,0.62471211
3914,0.191024005
3918,0.625326812
3923,0.624495208
3924,0.527974367
3925,0.624330401
3927,0.408758134
3955,0.62471211
3964,0.429416567
3966,0.367415786
3969,0.627466202
3974,0.63351351
3976,0.62471211
3984,0.402370453
3991,0.278271437
3993,0.628419459
4009,0.451544702
4011,0.361427009
4016,0.160589769
4020,0.60062784
4024,3.24E-05
4033,0.198134854
4035,0.488720745
4041,0.451544702
4045,0.626090646
4052,0.624872863
4055,0.512791395
4056,0.366399795
4057,0.388376802
4067,0.627646983
4069,0.451544702
4077,0.759214759
4079,0.62471211
4094,0.310728282
4095,0.293941498
4096,0.627466202
